id;species;category;light;difficulty;humidity;temperature;toxicity;cycle;waterSummer;waterWinter;fertilizeFreq;repotFreq;sowingMonths;plantingMonths;harvestMonths;repottingMonths;pruningMonths;winteringMonths;soilInfo;pruningInfo
303;Céanothe;outdoor;direct;medium;low;semiHardy;none;perennial;5;0;0;0;;;;3,4,9,10;4,9;11,12,1;Drainant, craint le calcaire.;Magnifique floraison bleue. Tailler légèrement après la floraison. Craint les grands froids.
304;Abélia;outdoor;direct;easy;medium;hardy;none;perennial;10;0;0;0;;;;10,11,3;3;;Ordinaire.;Fleurit très longtemps (été jusqu'aux gelées). Idéal en haie fleurie.
305;Cornouiller Sanguin;outdoor;partial;easy;medium;veryHardy;low;perennial;10;0;0;0;;;;11,3;2,3;;Tout sol.;Son bois devient rouge vif en hiver. Tailler court en mars pour stimuler les nouvelles tiges colorées.
306;Arbre à Perruque;outdoor;direct;easy;low;veryHardy;none;perennial;5;0;0;0;;;;11,3;3;;Drainant.;Inflorescences vaporeuses et feuillage pourpre spectaculaire.
307;Potentille Arbustive;outdoor;direct;easy;medium;veryHardy;none;perennial;5;0;0;0;;;;10,11,3;3,4;;Pauvre.;Petit buisson à fleurs jaunes (ou rouges/blanches) très robuste.
308;Berbéris;outdoor;direct;easy;low;veryHardy;low;perennial;5;0;0;0;;;;10,11,3;3,4,9;;Tout sol.;Haie défensive très épineuse. Souvent au feuillage pourpre.
309;Chèvrefeuille Arbustif;outdoor;partial;easy;medium;veryHardy;low;perennial;10;0;0;0;;;;10,11,3;3,9;;Tout sol.;Excellente alternative au buis pour les petites haies taillées, pousse plus vite.
310;Osmanthe;outdoor;partial;medium;medium;hardy;none;perennial;10;0;0;0;;;;10,11,3;3,9;;Ordinaire.;Feuillage persistant et fleurs blanches au parfum de jasmin au printemps.
311;Escallonia;outdoor;direct;easy;medium;semiHardy;none;perennial;10;0;0;0;;;;3,4,9,10;3,9;;Drainant.;Idéal en bord de mer, résiste aux embruns. Feuillage persistant.
312;Symphorine;outdoor;partial;easy;medium;veryHardy;low;perennial;5;0;0;0;;;;11,3;2,3;;Pauvre.;Grosses baies blanches ou roses qui éclatent sous le pied. Très rustique.
313;Corête du Japon;outdoor;partial;easy;medium;veryHardy;none;perennial;5;0;0;0;;;;11,3;4,5;;Ordinaire.;Fleurs en pompons jaunes. Tiges restent vertes en hiver.
314;Rhododendron;outdoor;partial;medium;high;hardy;high;perennial;20;5;180;0;;;;3,4,10;5,6;;Terre de bruyère (acide).;Ne pas enterrer le collet à la plantation. Supprimer les fleurs fanées à la main.
315;Andromède;outdoor;partial;medium;medium;hardy;high;perennial;15;0;180;0;;;;3,4,10;4;;Terre de bruyère.;Jeunes feuilles rouge feu au printemps. Clochettes blanches.
316;Skimmia;outdoor;low;easy;medium;hardy;low;perennial;10;0;0;0;;;;3,4,9,10;4,5;;Acide.;Idéal pour l'ombre. Boutons floraux rouges décoratifs tout l'hiver.
317;Bruyère d'été;outdoor;direct;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;3,4;9,1;;Acide et pauvre.;Fleurit en fin d'été/automne. Tailler en boule au printemps.
318;Sauge de Russie;outdoor;direct;easy;low;veryHardy;none;perennial;5;0;0;0;;;;3,4;3,4;;Sec et pauvre.;Tiges blanches et fleurs bleues. Rabattre très court (10cm du sol) en mars.
319;Echinacée;outdoor;direct;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;3,4;3,4,11;;Drainant.;Plante médicinale. Le cœur de la fleur ressemble à un petit hérisson.
320;Rudbeckia;outdoor;direct;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;3,4;3,4,11;;Ordinaire.;Marguerites jaunes très lumineuses en fin d'été.
321;Coréopsis;outdoor;direct;easy;low;hardy;none;perennial;5;0;0;0;;;;3,4;6,7;;Sec.;Floraison jaune ininterrompue tout l'été si on coupe les fleurs fanées.
322;Phlox;outdoor;partial;medium;medium;veryHardy;none;perennial;15;0;0;0;;;;3,4,10;6,7;;Riche et frais.;Parfum agréable, sensible à l'oïdium (poudre blanche sur feuilles).
323;Pied d'alouette;outdoor;direct;hard;medium;veryHardy;high;perennial;15;0;30;0;;;;3,4,9;6,7;;Riche et profond.;Hampes florales bleues géantes. Tuteurer impérativement contre le vent. Toxique.
324;Digitale;outdoor;partial;easy;medium;veryHardy;high;biennial;10;0;0;0;;;;3,4,9;6,7;;Acide et frais.;Très toxique (cardiaque). Se ressème toute seule dans les coins ombragés.
325;Ancolie;outdoor;partial;easy;medium;veryHardy;low;perennial;10;0;0;0;;;;3,4,9;6,7;;Léger.;Fleur complexe et élégante. Durée de vie courte mais se ressème.
326;Cœur de Marie;outdoor;partial;medium;medium;veryHardy;low;perennial;10;0;0;0;;;;10,11,3;6,7;;Frais et humifère.;Disparaît complètement en été après la floraison (repos).
327;Bergénia;outdoor;partial;easy;medium;veryHardy;none;perennial;5;0;0;0;;;;3,4,10;4,9;;Tout sol.;Grosses feuilles persistantes coriaces. Fleurs roses en fin d'hiver.
328;Alchémille;outdoor;partial;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;3,4,10;6,7;;Frais.;Feuillage décoratif qui retient les gouttes de rosée comme des perles.
329;Népéta;outdoor;direct;easy;low;veryHardy;none;perennial;5;0;0;0;;;;3,4,9;6,7;;Drainant.;Remplace la lavande au nord de la Loire. Rend les chats euphoriques.
330;Verveine de Buenos Aires;outdoor;direct;easy;medium;semiHardy;none;perennial;5;0;0;0;;;;4,5;3,4;;Drainant.;Hautes tiges graphiques violettes. Attire les pollinisateurs.
331;Scabieuse;outdoor;direct;easy;low;hardy;none;perennial;5;0;0;0;;;;3,4,9;6,7;;Calcaire.;Fleurs légères bleues ou roses en forme de pompon.
332;Euphorbe des jardins;outdoor;direct;easy;low;semiHardy;high;perennial;0;0;0;0;;;;3,4,9;4;;Sec et caillouteux.;Feuillage persistant bleuté et fleurs vert chartreuse. Latex irritant.
333;Oreille d'ours;outdoor;direct;easy;low;veryHardy;none;perennial;0;0;0;0;;;;3,4,9;4,9;;Pauvre.;Feuilles grises douces comme du velours. Craint l'excès d'eau.
334;Immortelle d'Italie;vegetable;direct;easy;low;semiHardy;none;perennial;0;0;0;0;;;;3,4;4, 9;;Sec.;Feuillage argenté dégageant une forte odeur de curry, surtout après la pluie.
335;Santoline;outdoor;direct;easy;low;hardy;none;perennial;0;0;0;0;;;;3,4;3,9;;Sec.;Plante aromatique à feuillage gris, fleurs jaunes en pompons.
336;Ciste;outdoor;direct;easy;low;semiHardy;none;perennial;0;0;0;0;;;;3,4,9;4,5;;Sec et pauvre.;Fleurs en papier crépon qui ne durent qu'un jour mais se renouvellent sans cesse.
337;Myrte;outdoor;direct;medium;low;semiHardy;none;perennial;5;0;0;0;;;;3,4;3,4;11,12,1;Drainant.;Arbuste méditerranéen aromatique. Baies utilisées pour la liqueur.
338;Romarin Rampant;vegetable;direct;easy;low;hardy;none;perennial;0;0;0;0;;;;3,4;4, 9;;Sec.;Forme retombante du romarin, idéale pour couvrir un talus ou muret.
339;Ipomée;outdoor;direct;easy;medium;frostTender;low;annual;15;0;15;0;;;;4,5;4;;Riche.;Grimpante annuelle à croissance ultra-rapide. Fleurs en trompette éphémères.
340;Pois de Senteur;outdoor;direct;easy;medium;hardy;low;annual;10;0;15;0;;;;3,4;6,7;;Riche.;Parfum délicieux. Il faut cueillir les fleurs pour qu'il continue à en produire.
341;Hortensia Grimpant;outdoor;low;easy;medium;veryHardy;low;perennial;10;0;0;0;;;;10,11,3;4;;Acide.;Une des rares grimpantes pour mur au Nord (ombre). S'accroche seule.
342;Perce-Neige;outdoor;partial;easy;medium;veryHardy;low;perennial;0;0;0;0;;;;9,1;4;;Frais.;Premier bulbe à fleurir en janvier/février.
343;Muscari;outdoor;direct;easy;medium;veryHardy;none;perennial;0;0;0;0;;;;9,10,11;5;;Drainant.;Petites grappes bleues. Se naturalise et s'étend rapidement.
344;Ail d'Ornement;outdoor;direct;easy;low;veryHardy;none;perennial;0;0;0;0;;;;9,10,11;6,7;;Drainant.;Grosses boules violettes au sommet d'une tige nue. Séche sur pied.
345;Fritillaire Impériale;outdoor;direct;medium;medium;hardy;high;perennial;0;0;0;0;;;;9,1;6;;Riche.;Bulbe odorant qui repousse les taupes. Fleurs oranges en clochettes renversées.
346;Hélianthe Vivace;outdoor;direct;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;3,4,10;3,4,11;;Ordinaire.;Grandes fleurs jaunes en fin de saison. Peut devenir envahissant.
347;Lysimaque;outdoor;partial;easy;high;veryHardy;none;perennial;15;0;0;0;;;;3,4,10;6,7;;Humide.;Fleurs jaunes en épis. Aime les bords de bassin.
348;Verge d'Or;outdoor;direct;easy;medium;veryHardy;none;perennial;5;0;0;0;;;;3,4,10;6,7;;Pauvre.;Panaches jaunes vifs en fin d'été. Très mellifère.
349;Bambou Sacré;outdoor;partial;easy;medium;hardy;low;perennial;10;0;0;0;;;;3,4,9;3,4,9;;Ordinaire.;Ni un bambou ni sacré, mais superbe. Feuillage persistant qui rougit en hiver.
350;Tetrapanax;outdoor;partial;medium;medium;semiHardy;low;perennial;20;0;0;0;;;;4,5;3,4;;Riche et drainant.;Feuilles géantes exotiques. Drageonne beaucoup (fait des bébés partout).
351;Edgeworthia;outdoor;partial;medium;medium;hardy;none;perennial;15;0;0;0;;;;10,11;3,4;;Acide et humifère.;Fleurs jaunes en pompons très parfumées sur bois nu en février.
352;Mahonia Charity;outdoor;partial;easy;medium;veryHardy;none;perennial;5;0;0;0;;;;10,11;4,5;;Ordinaire.;Longues grappes de fleurs jaunes en hiver suivies de baies bleues. Feuilles piquantes.
353;Coronille;outdoor;direct;easy;low;semiHardy;none;perennial;5;0;0;0;;;;3,4;3,4;;Sec et calcaire.;Fleurs jaune vif tout l'hiver et début de printemps. Idéal jardin sec.
354;Jasmin d'Hiver;outdoor;partial;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;10,11;3,4;;Ordinaire.;Fleurs jaunes sur tiges nues de décembre à mars. Ne sent pas.
355;Hamamélis;outdoor;partial;medium;medium;veryHardy;none;perennial;15;0;0;0;;;;10,11;4;;Acide et frais.;Fleurs ébouriffées (comme des araignées) jaunes ou rouges en plein hiver.
356;Laurier Tin;outdoor;partial;easy;medium;hardy;none;perennial;10;0;0;0;;;;10,11,3;3,9;;Ordinaire.;L'indispensable des haies. Boutons roses, fleurs blanches en hiver, baies bleues.
357;Oranger du Mexique;outdoor;partial;easy;medium;hardy;none;perennial;10;0;0;0;;;;10,11,3;3,9;;Ordinaire.;Feuillage persistant aromatique. Floraison blanche parfumée en avril-mai.
358;Hellébore;outdoor;partial;easy;medium;veryHardy;high;perennial;5;0;0;0;;;;3,4,9;3,4;;Lourd et frais.;Fleurit sous la neige. Couper les vieilles feuilles noires pour voir les fleurs.
359;Daphné;outdoor;partial;medium;medium;hardy;high;perennial;10;0;0;0;;;;10,11;4,5;;Humifère et drainant.;Un des parfums les plus puissants du jardin en fin d'hiver.
360;Sarcococca;outdoor;low;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;10,11,3;3,4;;Ombre sèche.;Fleurs discrètes mais parfum de vanille en janvier/février.
361;Callicarpa;outdoor;direct;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;11,3;3;;Ordinaire.;Baies violettes métalliques incroyables en automne sur bois nu.
362;Cognassier du Japon;outdoor;direct;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;10,11,3;4,5;;Ordinaire.;Fleurs rouges ou roses très précoces (février). Épineux.
363;Groseillier à fleurs;outdoor;partial;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;10,11,3;5,6;;Ordinaire.;Feuillage odorant (cassis) et grappes de fleurs roses au printemps.
364;Amélanchier;outdoor;partial;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;11,3;11,12;;Acide ou neutre.;Fleurs blanches étoilées, baies comestibles et feuillage rouge en automne. Le 3 en 1.
365;Cornouiller à fleurs;outdoor;partial;medium;medium;hardy;none;perennial;15;0;0;0;;;;11,3;11,12;;Acide et frais.;Magnifiques 'fleurs' (bractées) blanches ou roses en mai-juin.
366;Arbre de Judée;outdoor;direct;easy;medium;hardy;none;perennial;10;0;0;0;;;;11;11,12;;Calcaire.;Fleurs roses qui poussent directement sur le tronc avant les feuilles.
367;Phormium;outdoor;direct;easy;medium;semiHardy;none;perennial;10;0;0;0;;;;3,4;3,4;11,12;Drainant.;Grandes épées graphiques colorées (rouge, bronze, panaché). Très moderne.
368;Cordyline Australe;outdoor;direct;medium;medium;semiHardy;low;perennial;10;0;0;0;;;;3,4;3,4;11,12,1;Drainant.;Allure de palmier. Attention au cœur qui pourrit s'il fait froid et humide.
369;Grevillea;outdoor;direct;medium;low;semiHardy;low;perennial;5;0;0;0;;;;3,4;3,4;12,1;Acide et sec (impératif).;Fleurs rouges exotiques. Ne supporte pas le phosphore (engrais classiques).
370;Miscanthus;outdoor;direct;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;3,4;3;;Tout sol.;Grande graminée structurante. Rabattre la touffe sèche au ras du sol en mars.
371;Stipa;outdoor;direct;easy;low;hardy;none;perennial;5;0;0;0;;;;3,4,9;3;;Sec.;Graminée blonde très fine qui ondule au vent. Ne pas tailler, juste peigner.
372;Carex;outdoor;partial;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;3,4,9;3,4;;Frais.;Feuillage persistant coloré (bronze, vert, panaché). Ne se taille pas.
373;Gunnera;outdoor;partial;medium;high;semiHardy;none;perennial;30;0;30;0;;;;3,4;3;11,12,1,2;Riche et humide.;Feuilles immenses (2m). Couvrir la souche avec ses propres feuilles en hiver.
374;Acanthe;outdoor;partial;easy;medium;hardy;none;perennial;10;0;0;0;;;;3,4,9;3,11;;Drainant.;Feuilles architecturales (chapiteaux corinthiens). Grandes hampes florales.
375;Kniphofia;outdoor;direct;easy;medium;hardy;none;perennial;10;0;0;0;;;;3,4;3,4;;Drainant.;Fleurs exotiques orange/jaune. Feuillage persistant qu'il ne faut pas couper court.
376;Fusain Ailé;outdoor;partial;easy;medium;veryHardy;low;perennial;10;0;0;0;;;;10,11,3;11,12;;Ordinaire.;Devient rouge fluo en automne. Branches avec des 'ailettes' de liège curieuses.
377;Gattilier;outdoor;direct;easy;low;hardy;none;perennial;5;0;0;0;;;;10,11,3;3,4;;Drainant.;Fleurs bleues en fin d'été. Feuillage odorant (poivré).
378;Grenadier à fleurs;outdoor;direct;medium;low;semiHardy;none;perennial;10;0;0;0;;;;3,4;3;11,12,1;Drainant.;Fleurs oranges froissées superbes. Ne donne pas de fruits comestibles.
379;Bambou Noir;outdoor;partial;medium;medium;veryHardy;none;perennial;20;0;90;0;;;;3,4,9;3,4,9;;Riche.;Cannes noires très esthétiques. Attention, c'est un bambou traçant (barrière anti-rhizome obligatoire).
380;Clématite d'Armand;outdoor;partial;medium;medium;semiHardy;low;perennial;10;0;0;0;;;;3,4,9;4,5;;Riche et frais.;Feuilles persistantes coriaces. Fleurs blanches parfumées en mars.
381;Solanum Grimpant;outdoor;direct;easy;medium;semiHardy;medium;perennial;15;0;0;0;;;;3,4;3,4,9;11,12,1;Riche.;Croissance très rapide. Fleurs blanches tout l'été.
382;Passiflore Bleue;outdoor;direct;easy;medium;hardy;low;perennial;15;0;0;0;;;;3,4;3,4;;Drainant.;La seule passiflore vraiment rustique au jardin. Fruits oranges décoratifs.
383;Houblon Doré;outdoor;partial;easy;medium;veryHardy;low;perennial;15;0;0;0;;;;3,4;3,4;;Riche.;Grimpante herbacée (disparaît en hiver, repousse de 6m au printemps). Feuillage jaune.
384;Chèvrefeuille d'Hiver;outdoor;partial;easy;medium;veryHardy;low;perennial;10;0;0;0;;;;10,11;3,4;;Ordinaire.;Arbuste (non grimpant) à floraison hivernale très parfumée.
385;Fougère Femelle;outdoor;low;easy;high;veryHardy;none;perennial;15;0;0;0;;;;3,4;3,4,11;;Frais et acide.;Fougère caduque très élégante pour l'ombre.
386;Pachysandra;outdoor;low;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;3,4,9;4,9;;Frais.;Couvre-sol persistant indispensable pour les coins d'ombre sèche sous les arbres.
387;Lavatère;outdoor;direct;easy;medium;semiHardy;none;perennial;10;0;0;0;;;;3,4;3,4;;Drainant.;Pousse très vite. Couverte de fleurs roses tout l'été. Vieillit mal (durée de vie 5-6 ans).
388;Fuchsia Rustique;outdoor;partial;medium;medium;hardy;none;perennial;15;0;0;0;;;;3,4;3,4;11,12;Frais.;Le seul fuchsia qui résiste au gel en pleine terre. Rabattre si le bois a gelé.
389;Azalée Japonaise;outdoor;partial;medium;medium;hardy;high;perennial;15;5;0;0;;;;3,4,9;4,5;;Terre de bruyère pure.;Forme des coussins colorés au printemps. Feuillage persistant.
390;Erable à peau de serpent;outdoor;partial;medium;medium;veryHardy;none;perennial;10;0;0;0;;;;11,3;11,12;;Acide.;Écorce rayée verte et blanche superbe en hiver.
391;Chimonanthus;outdoor;direct;medium;medium;hardy;low;perennial;10;0;0;0;;;;11,3;3;;Drainant.;Fleurs cireuses jaunes au cœur pourpre en hiver, parfum divin.
392;Cyclamen de Naples;outdoor;partial;easy;medium;veryHardy;low;perennial;0;0;0;0;;;;7,8;6,7;;Sec à l'ombre.;Fleurit en automne, feuilles marbrées en hiver, dort en été. Tapis de sous-bois.
393;Violette Odorante;outdoor;partial;easy;medium;veryHardy;none;perennial;5;0;0;0;;;;3,4,9;4,9;;Frais.;Se ressème partout. Parfum emblématique.
394;Ilex Crenata;outdoor;partial;easy;medium;veryHardy;low;perennial;10;0;0;0;;;;10,11,3;4,9;;Acide.;Le remplaçant n°1 du buis (ne craint pas la pyrale). Feuilles minuscules sans piquant.
395;Yucca Filamentosa;outdoor;direct;easy;low;veryHardy;low;perennial;0;0;0;0;;;;3,4;3,4;;Drainant.;Plus rustique que le Yucca gloriosa. Fils blancs sur les feuilles.
396;Imperata;outdoor;direct;easy;medium;hardy;none;perennial;10;0;0;0;;;;3,4;3,4;;Frais.;Graminée rouge vif spectaculaire à contre-jour.
397;Ophiopogon;outdoor;partial;easy;medium;hardy;none;perennial;10;0;0;0;;;;3,4;4,9;;Frais.;Ressemble à une herbe, mais noire. Superbe contraste avec des cailloux blancs.
398;Laurier du Portugal;outdoor;partial;easy;medium;veryHardy;low;perennial;10;0;180;0;;;;10,11,3;3,9;;Ordinaire.;L'alternative élégante au laurier palme. Feuilles plus fines, pétioles rouges. Haie dense.
399;Troène;outdoor;partial;easy;medium;veryHardy;low;perennial;10;0;0;0;;;;10,11,3;4,9;;Tout sol.;Le classique des haies de lotissement. Croissance rapide, supporte toutes les tailles.
400;Pennisetum;outdoor;direct;easy;medium;hardy;none;perennial;10;0;0;0;;;;3,4;3;;Drainant.;Graminée aux épis en forme de goupillons doux. Rabattre la touffe sèche en mars.
401;Lys des Incas;outdoor;partial;medium;medium;semiHardy;low;perennial;15;0;30;0;;;;3,4;6,7;11,12;Riche et profond.;Fleurit tout l'été. Tirer sur les tiges pour les cueillir (ne pas couper) stimule la repousse.
402;Aster;outdoor;direct;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;3,4;6,7;;Ordinaire.;Explosion de fleurs mauves ou roses quand les autres plantes fanent (septembre-novembre).
403;Vergerette;outdoor;direct;easy;low;hardy;none;perennial;5;0;0;0;;;;3,4;6,7;;Sec et pauvre.;Une nuée de petites fleurs blanches et roses. Pousse dans les joints de murs sans terre.
404;Sauge Arbustive;outdoor;direct;easy;low;semiHardy;none;perennial;5;0;0;0;;;;3,4;3,4,9;;Sec.;Feuillage aromatique (cassis/menthe). Fleurit de mai aux gelées sans arrêt.
405;Achillée;outdoor;direct;easy;low;veryHardy;none;perennial;5;0;0;0;;;;3,4,10;6,7;;Sec.;Fleurs en plateaux colorés. Adorée des insectes auxiliaires.
406;Caryopteris;outdoor;direct;easy;low;hardy;none;perennial;5;0;0;0;;;;3,4;3,4;;Drainant.;Buisson bleu en fin d'été. Rabattre court en mars.
407;Leucothoe;outdoor;partial;medium;medium;veryHardy;low;perennial;10;0;0;0;;;;3,4,10;4;;Acide (terre de bruyère).;Feuillage persistant qui devient rouge/bronze en hiver. Belle alternative aux bruyères.
408;Phlomis;outdoor;direct;easy;low;hardy;none;perennial;0;0;0;0;;;;3,4,9;4,9;;Sec et pauvre.;Feuillage gris duveteux, fleurs jaunes en étages. Idéal jardin sec.
409;Ceratostigma;outdoor;partial;easy;medium;hardy;none;perennial;5;0;0;0;;;;3,4;3,4;;Drainant.;Fleurs bleu intense et feuillage qui rougit en automne. Couvre-sol.
410;Gazania;outdoor;direct;easy;low;frostTender;none;perennial;5;0;0;0;;;;4,5;6,7;11,12;Sec.;Fleurs graphiques qui se ferment s'il n'y a pas de soleil. Souvent cultivée en annuelle.
411;Osteospermum;outdoor;direct;easy;low;semiHardy;none;perennial;5;0;15;0;;;;3,4;6,7;11,12;Drainant.;Marguerites violettes, blanches ou oranges. Résiste bien à la sécheresse.
412;Valériane Rouge;outdoor;direct;easy;low;veryHardy;none;perennial;0;0;0;0;;;;3,4;6,7;;Pauvre et calcaire.;Pousse dans les murs et le béton. Couper les fleurs fanées pour une remontée.
413;Nigelle de Damas;outdoor;direct;easy;medium;hardy;none;annual;0;0;0;0;;;;;6,7;;Ordinaire.;Fleurs bleues légères suivies de capsules décoratives. Se ressème seule.
414;Pavot de Californie;outdoor;direct;easy;low;hardy;none;annual;0;0;0;0;;;;;6,7;;Pauvre et sec.;Fleurs oranges éclatantes. Idéal pour les zones sans arrosage.
415;Monarde;outdoor;partial;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;3,4;6,7;;Frais.;Fleurs ébouriffées. Feuilles aromatiques utilisées pour le thé Earl Grey.
416;Hémérocalle;outdoor;partial;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;3,4,9;6,7;;Ordinaire.;Chaque fleur ne dure qu'un jour, mais elles se succèdent tout l'été. Comestible.
417;Benoîte;outdoor;partial;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;3,4,9;6,7;;Frais.;Fleurs oranges ou rouges sur des tiges fines, très lumineux.
418;Penstemon;outdoor;direct;easy;medium;semiHardy;none;perennial;10;0;0;0;;;;4,5;3,4;;Drainant.;Fleurs en clochettes. Ne pas tailler avant la fin de l'hiver pour protéger la souche.
419;Brunnera;outdoor;low;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;3,4,9;6,7;;Frais et ombragé.;Superbe feuillage argenté en forme de cœur, fleurs bleues au printemps.
420;Sceau de Salomon;outdoor;low;easy;medium;veryHardy;low;perennial;10;0;0;0;;;;3,4,9;11;;Humifère (sous-bois).;Tiges arquées avec clochettes blanches pendantes.
421;Giroflée;outdoor;direct;easy;low;hardy;none;perennial;5;0;0;0;;;;3,4,9;4,5;;Sec et calcaire.;Floraison printanière parfumée (orange, jaune, pourpre). Pousse dans les vieux murs.
422;Monnaie du Pape;outdoor;partial;easy;medium;veryHardy;none;biennial;0;0;0;0;;;;;6,7;;Ordinaire.;Connue pour ses fruits ronds nacrés et secs utilisés en bouquets secs.
423;Amour en cage;outdoor;partial;easy;medium;veryHardy;low;perennial;5;0;0;0;;;;3,4,9;6,7;;Ordinaire.;Lanternes oranges décoratives. Attention, très envahissant par ses racines.
424;Liatris;outdoor;direct;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;3,4;6,7;;Frais.;Épis violets originaux qui fleurissent du haut vers le bas.
425;Véronique Arbustive;outdoor;direct;medium;medium;semiHardy;none;perennial;10;0;0;0;;;;3,4,9;4,9;;Drainant.;Petits épis bleus ou violets, feuillage persistant très graphique.
426;Palmier Chanvre;outdoor;partial;easy;medium;veryHardy;none;perennial;15;0;60;0;;;;4,5;3,4,9;;Riche.;Le seul palmier qui résiste à -18°C. Tronc poilu typique.
427;Pourpier Vivace;outdoor;direct;easy;low;semiHardy;none;perennial;0;0;0;0;;;;3,4,5;4,9;;Sec.;Tapis de fleurs fluo (rose, orange) tout l'été. Craint l'humidité hivernale.
428;Griffe de Sorcière;outdoor;direct;easy;low;frostTender;none;perennial;0;0;0;0;;;;3,4;4,9;11,12;Sableux.;Plante grasse de bord de mer très envahissante. Fleurs géantes.
429;Gazon d'Espagne;outdoor;direct;easy;low;veryHardy;none;perennial;0;0;0;0;;;;3,4,9;4,5;;Pauvre et salé.;Petits pompons roses sur un coussin d'herbe. Idéal rocaille.
430;Corbeille d'Argent;outdoor;direct;easy;low;veryHardy;none;perennial;5;0;0;0;;;;3,4,9;4,5;;Calcaire.;Couvre-sol blanc immaculé au printemps. Persistant.
431;Corbeille d'Or;outdoor;direct;easy;low;veryHardy;none;perennial;0;0;0;0;;;;3,4,9;4,5;;Sec.;Le pendant jaune de la corbeille d'argent. Pousse dans les murets.
432;Framboisier;vegetable;partial;easy;medium;veryHardy;none;perennial;15;0;90;0;;;;11,12,1,2;2, 6, 11;;Riche.;Tailler au ras du sol les tiges ayant donné des fruits (elles sèchent).
433;Cassissier;vegetable;partial;easy;medium;veryHardy;none;perennial;10;0;90;0;;;;11,12,1,2;11, 12, 1, 2;;Frais.;Supprimer le vieux bois (tiges noires) au centre pour aérer.
434;Mûrier (Ronce);vegetable;partial;easy;medium;veryHardy;none;perennial;10;0;90;0;;;;11,12,1,2;2, 7;;Ordinaire.;Choisir des variétés sans épines ('Thornless'). Palisser contre un mur.
435;Kiwi;vegetable;partial;medium;medium;hardy;none;perennial;20;0;90;0;;;;11,2,3;12, 1, 6;;Riche et non calcaire.;Liane vigoureuse. Il faut souvent un pied mâle et un pied femelle.
436;Rhubarbe;vegetable;partial;easy;high;veryHardy;high;perennial;20;0;90;0;;;;3,4,10;;;Profond et riche.;Seules les tiges se mangent, les feuilles sont toxiques. Couper les fleurs dès qu'elles apparaissent.
437;Artichaut;vegetable;direct;medium;medium;semiHardy;none;perennial;15;0;90;0;;;;3,4;11;11,12,1;Riche.;Fleur de chardon géante. Protéger le pied du froid en hiver.
438;Souci;outdoor;direct;easy;medium;frostTender;none;annual;5;0;0;0;;;;4,5;6,7;;Ordinaire.;Fleurs oranges comestibles et médicinales. Se ressème partout.
439;Bourrache;vegetable;direct;easy;medium;frostTender;none;annual;0;0;0;0;;;;;;;Ordinaire.;Fleurs bleues en étoile comestibles (goût d'huître). Très mellifère.
440;Ail des Ours;vegetable;low;easy;high;veryHardy;none;perennial;10;0;0;0;;;;9,1;;;Humide (sous-bois).;Délicieux en pesto. Attention à ne pas confondre avec le muguet (toxique) !
441;Hélénie;outdoor;direct;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;3,4,10;6,7;;Frais.;Marguerites aux couleurs chaudes (feu, rouge, brun) en fin d'été.
442;Pâquerette;outdoor;direct;easy;medium;veryHardy;none;biennial;5;0;0;0;;;;9,10,3;4,9;;Frais.;Version cultivée à grosses fleurs de la pâquerette sauvage. Idéale en jardinière d'hiver.
443;Genévrier;outdoor;direct;easy;low;veryHardy;low;perennial;5;0;0;0;;;;10,11,3;4,9;;Pauvre.;Couvre-sol persistant increvable. Les baies de certaines espèces servent à faire le gin.
444;Faux Cyprès;outdoor;partial;easy;medium;veryHardy;low;perennial;10;0;0;0;;;;10,11,3;4,9;;Ordinaire.;Conifère de rocaille ou de haie, feuillage souvent doré ou bleuté.
445;Myrtillier;vegetable;partial;medium;medium;veryHardy;none;perennial;15;0;90;0;;;;11,3;12, 1, 2;;Terre de bruyère pure (Acide).;Ne pousse pas du tout en terre calcaire. Délicieuses baies bleues.
446;Groseillier à maquereau;vegetable;partial;easy;medium;veryHardy;none;perennial;10;0;90;0;;;;11,3;11, 12, 1, 2;;Frais.;Produit des baies translucides plus grosses que les groseilles. Épineux.
